Date,Shift,"Worker ID"
2021-02-26,"Night Heavy Shift",521
2021-02-26,"Night Heavy Shift",412
2021-02-27,"Day Shift",436
2021-02-27,"Day Shift",301
2021-02-27,"Day Shift",497
2021-02-27,"Day Shift",379
2021-02-27,"Day Shift",584
2021-02-27,"Day Heavy Shift",475
2021-02-27,"Day Shift",539
2021-02-27,"Day Shift",381
2021-02-27,"Day Shift",434
2021-02-27,"Day Shift",382
2021-02-27,"Day Shift",372
2021-02-27,"Day Shift",376
2021-02-27,"Day Shift",360
2021-02-27,"Day Shift",506
2021-02-27,"Day Shift",371
2021-02-27,"Day Shift",516
2021-02-27,"Day Shift",375
2021-02-27,"Day Shift",383
2021-02-27,"Day Shift",494
2021-02-27,"Day Shift",435
2021-02-27,"Day Shift",377
2021-02-27,"Day Shift",361
2021-02-27,"Day Shift",465
2021-02-27,"Day Shift",363
2021-02-27,"Day Heavy Shift",511
2021-02-27,"Day Shift",370
2021-02-27,"Day Shift",336
2021-02-27,"Day Shift",355
2021-02-27,"Day Shift",513
2021-02-27,"Day Heavy Shift",472
2021-02-27,"Day Heavy Shift",471
2021-02-27,"Day Heavy Shift",496
2021-02-27,"Day Heavy Shift",507
2021-02-27,"Day Shift",478
2021-02-27,"Day Shift",529
2021-02-27,"Day Shift",364
2021-02-27,"Day Shift",365
2021-02-27,"Day Shift",374
2021-02-27,"Day Shift",368
2021-02-27,"Day Shift",380
2021-02-27,"Day Heavy Shift",466
2021-02-27,"Day Shift",384
2021-02-27,"Day Shift",573
2021-02-27,"Day Shift",517
2021-02-27,"Day Shift",413
2021-02-27,"Day Shift",366
2021-02-27,"Day Shift",362
2021-02-27,"Day Heavy Shift",470
2021-02-27,"Day Shift",464
2021-02-27,"Day Shift",525
2021-02-27,"Day Shift",437
2021-02-27,"Day Shift",437
2021-02-27,"Day Shift",459
2021-02-27,"Day Shift",459
2021-02-27,"Day Shift",459
2021-02-27,"Day Shift",283
2021-02-27,"Day Shift",283
2021-02-27,"Day Shift",283
2021-02-27,"Day Shift",608
2021-02-27,"Day Shift",412
2021-02-27,"Day Shift",315
2021-02-27,"Day Heavy Shift",499
2021-02-27,"Day Shift",552
2021-02-27,"Day Shift",544
2021-02-27,"Day Heavy Shift",487
2021-02-27,"Day Heavy Shift",394
2021-02-27,"Day Heavy Shift",824
2021-02-27,"Day Heavy Shift",823
2021-02-27,"Day Heavy Shift",760
2021-02-27,"Day Heavy Shift",853
2021-02-27,"Day Heavy Shift",822
2021-02-27,"Day Heavy Shift",838
2021-02-27,"Day Heavy Shift",821
2021-02-27,"Day Heavy Shift",756
2021-02-27,"Day Heavy Shift",745
2021-02-27,"Day Heavy Shift",814
2021-02-27,"Day Heavy Shift",731
2021-02-27,"Day Heavy Shift",772
2021-02-27,"Day Heavy Shift",784
2021-02-27,"Day Heavy Shift",757
2021-02-27,"Day Heavy Shift",768
2021-02-27,"Day Heavy Shift",826
2021-02-27,"Day Heavy Shift",762
2021-02-27,"Day Heavy Shift",732
2021-02-27,"Day Heavy Shift",754
2021-02-27,"Day Heavy Shift",859
2021-02-27,"Day Heavy Shift",758
2021-02-27,"Day Heavy Shift",682
2021-02-27,"Day Shift",545
2021-02-27,"Day Heavy Shift",595
2021-02-27,"Day Heavy Shift",595
2021-02-27,"Day Heavy Shift",812
2021-02-27,"Day Heavy Shift",390
